"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Theophylline|Fraction excreted to urine"
2,1560,0.8174,0.1235967
2,1620,0.7039781,0.1239973
2,1680,0.606151,0.1243422
2,1740,0.5218032,0.1246391
2,1800,0.4491006,0.1248947
2,1860,0.3864543,0.1251147
2,1920,0.3324884,0.1253039
2,1980,0.2860123,0.1254667
2,2040,0.2459963,0.1256067
2,2100,0.2115501,0.1257272
2,2160,0.1819047,0.1258307
2,2220,0.1563959,0.1259197
2,2280,0.1344502,0.1259963
2,2340,0.1155731,0.1260621
2,2400,0.09933779,0.1261186
2,2460,0.08537652,0.1261673
2,2520,0.07337223,0.126209
2,2580,0.06305175,0.1262449
2,2640,0.0541798,0.1262758
2,2700,0.04655377,0.1263023
2,2760,0.03999925,0.1263251
2,2820,0.03436609,0.1263446
2,2880,0.02952512,0.1263614
2,2940,0.0253652,0.1263759
2,3000,0.0217907,0.1263883
2,3060,0.0187194,0.126399
2,3120,0.01608058,0.1264081
2,3180,0.01381343,0.126416
2,3240,0.01186567,0.1264227
2,3300,0.01019237,0.1264285
2,3360,0.008754898,0.1264335
2,3420,0.007520046,0.1264378
2,3480,0.006459281,0.1264415
2,3540,0.005548086,0.1264446
2,3600,0.004765385,0.1264473
2,3660,0.004093064,0.1264497
2,3720,0.003515563,0.1264517
2,3780,0.003019521,0.1264534
2,3840,0.002593453,0.1264549
2,3900,0.002227491,0.1264562
2,3960,0.00191316,0.1264572
2,4020,0.001643177,0.1264582
2,4080,0.001411287,0.126459
2,4140,0.001212118,0.1264597
2,4200,0.001041053,0.1264603
2,4260,0.0008941269,0.1264608
2,4320,0.0007679351,0.1264612
3,0,0,0
3,60,30.64729,0.006836438
3,120,29.11781,0.01512035
3,180,26.75334,0.02266061
3,240,24.55812,0.02957893
3,300,22.54888,0.03593051
3,360,20.70884,0.04176342
3,420,19.02181,0.04712096
3,480,17.47371,0.05204237
3,540,16.05224,0.0565634
3,600,14.74654,0.06071668
3,660,13.54689,0.06453212
3,720,12.44453,0.0680371
3,780,11.43151,0.0712568
3,840,10.50059,0.07421434
3,900,9.64514,0.07693096
3,960,8.859083,0.07942621
3,1020,8.136834,0.08171806
3,1080,7.473256,0.08382302
3,1140,6.863621,0.08575627
3,1200,6.303579,0.0875318
3,1260,5.789124,0.08916242
3,1320,5.316568,0.09065995
3,1380,4.882519,0.09203522
3,1440,4.483853,0.0932982
3,1500,4.1177,0.09445806
3,1560,3.781417,0.09552319
3,1620,3.472574,0.09650133
3,1680,3.188937,0.09739958
3,1740,2.928455,0.09822445
3,1800,2.68924,0.09898195
3,1860,2.469559,0.09967757
3,1920,2.267817,0.1003164
3,1980,2.082552,0.100903
3,2040,1.912419,0.1014417
3,2100,1.756183,0.1019363
3,2160,1.612708,0.1023906
3,2220,1.480954,0.1028077
3,2280,1.359963,0.1031908
3,2340,1.248856,0.1035426
3,2400,1.146826,0.1038656
3,2460,1.053132,0.1041623
3,2520,0.9670914,0.1044347
3,2580,0.8880805,0.1046848
3,2640,0.8155245,0.1049146
3,2700,0.7488963,0.1051255
3,2760,0.6877115,0.1053192
3,2820,0.6315255,0.1054971
3,2880,0.5799298,0.1056605
3,2940,0.5325495,0.1058105
3,3000,0.4890401,0.1059482
3,3060,0.4490855,0.1060747
3,3120,0.4123951,0.1061909
3,3180,0.3787023,0.1062975
3,3240,0.3477623,0.1063955
3,3300,0.31935,0.1064855
3,3360,0.2932591,0.1065681
3,3420,0.2692997,0.1066439
3,3480,0.2472979,0.1067136
3,3540,0.2270936,0.1067775
3,3600,0.20854,0.1068363
3,3660,0.1915022,0.1068902
3,3720,0.1758565,0.1069398
